speaker,utterance_num,utterance
Client,2,"Yes, I am."
Therapist,2,"Won't you have a chair? Now then, we have half an hour together, and I really don't know what we will be able to make of it but uh I hope we can make something of it. I'd be glad to know whatever concerns you."
Client,3,"Well, right now I'm nervous  but I feel more comfortable the way you are talking in a low voice and I don't feel like you'll be so harsh on me. But, ah ..."
Therapist,3,I hear the tremor in your voice so I know you are...
Client,4,"Uh, well, the main thing I um, want to talk to you about is uh, I'm just newly divorced and uh I had gone in therapy before and I felt comfortable when I left, and all of a sudden now the biggest change is adjusting to my single life.  And uh one of the things that bothers me the most is especially men, and having men to the house and how it affects the children  and- Uh, the biggest thing I want - the thing that keeps coming to my mind I want to tell you about is that I have a daughter, nine, who at one time I felt had a lot of emotional problems. I wish I could stop shaking . And uh, I'm real conscious of things affecting her. I don't want her to get upset, I don't want to shock her. I want so bad to- for her to accept me. And we're real open with each other especially about sex. And the other day she saw a girl that was single but pregnant and she asked me all about ""can girls get pregnant if they are single?"" And the conversation was fine and I wasn’t un- at ease at all with her until she asked me if I had ever made love to a man since I left her daddy and I lied to her. And ever since that, it keeps Rogers’ Transcripts, Volume 12, Gloria Interview, page 5 coming up to my mind because I feel so guilty lying to her because I never lie and I want her to trust me. And I want- I almost want an answer from you. I want you to tell me if it would affect her wrong if I told her the truth, or what."
Therapist,4,"And it's this concern about her and the fact that you really aren't - that this open relationship that has existed between you, now you feel it's kind of vanished?"
Client,5,"Yes. I feel like I have to be on guard about that  because I remember when I was a little girl, when I first found out my mother and father made love, that was dirty and terrible, and I didn't- I didn’t like her any more for awhile. And I don't want to lie to Pammy either and I don't know..."
Therapist,5,I sure wish I could give you the answer as to what you should tell her.
Client,6,I was afraid you were going to say that .
Therapist,6,Because what you really want is an answer.
Client,7,I want to especially know if it would affect her if I was completely honest and open with her or if it would affect her because I lied. I feel like it is bound to make a strain because I lied to her. [Words lost]
Therapist,7,"Mhm. You feel she'll suspect that, or she'll know something is not quite right?"
Client,8,"I feel that in time she will distrust me, yes . And also I thought well, gee, what about when she gets a little older and she finds herself in touchy situations. She probably wouldn't want to admit it to me because she thinks I'm so good and so sweet.  And yet I'm afraid she could think I'm really a- a devil. And I want so bad for her to accept me. And I don't know how much a nine-year-old can take."
Therapist,8,And really both alternatives concern you. That she may think you're too good or better than you really are.
Client,9,Yes.
